trackIsexplicit,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,songIsLiked
0,96,98,50,29,99,82,92,98,99,0,1
0,95,99,87,21,99,77,97,99,99,34,1
0,94,88,8,99,99,99,99,99,99,71,0
0,92,99,29,1,99,80,91,99,98,16,1
0,94,98,87,19,99,79,85,99,99,75,1
0,94,99,29,40,99,79,81,99,99,88,1
1,87,95,4,9,99,97,99,99,96,9,0
0,92,90,77,68,99,96,99,96,97,38,0
1,95,88,4,56,99,96,99,99,99,29,1
0,91,99,8,9,99,78,99,99,99,5,1
0,94,90,64,90,99,88,99,98,99,87,1
1,89,89,0,15,99,87,99,99,94,96,1
1,95,98,17,77,99,86,99,99,99,97,1
1,97,87,87,65,99,99,99,99,97,63,0
0,94,96,8,0,99,84,99,99,99,77,1
1,82,89,87,93,99,99,99,99,90,28,1
1,85,97,87,99,99,81,99,99,95,93,1
1,89,85,98,99,99,99,96,96,90,75,0
0,93,94,4,0,99,98,99,99,98,61,1
1,83,88,77,48,99,99,99,99,90,0,1
0,93,88,17,56,99,96,99,99,98,87,1
0,94,99,8,62,99,77,82,99,99,54,1
0,96,99,8,96,99,78,90,99,99,26,1
0,98,99,87,5,99,92,92,99,99,99,0
0,87,95,4,95,99,89,100,98,93,43,1
0,84,96,50,10,99,86,99,99,95,3,1
0,86,96,100,30,99,88,99,99,94,94,1
0,93,97,87,11,99,90,100,98,90,92,1
0,92,98,87,94,99,96,99,99,97,62,1
0,87,84,50,99,99,99,99,99,89,45,1
0,86,89,17,96,99,99,99,99,82,90,1
0,87,99,4,98,99,89,99,99,95,96,1
0,87,85,87,99,99,99,99,99,87,14,1
0,86,89,29,37,99,99,99,99,96,0,0
0,87,87,4,24,99,97,99,99,87,9,1
0,88,86,50,65,99,93,99,97,85,90,1
0,90,91,42,39,99,98,99,99,92,92,1
0,93,99,87,22,99,82,99,97,97,18,1
0,84,93,100,0,99,93,99,98,93,0,1
0,86,89,8,94,99,99,99,99,84,79,1
0,86,93,87,80,99,99,99,96,90,0,1
0,88,91,50,25,99,92,81,99,99,62,1
0,89,94,77,93,99,82,81,99,97,95,0
0,91,97,17,93,99,91,80,99,97,22,1
0,85,97,100,9,99,96,83,99,95,36,1
0,89,97,4,10,99,97,81,99,98,99,1
0,86,87,98,58,99,99,79,99,87,0,1
0,84,95,8,10,99,95,80,99,78,30,1
0,88,89,42,99,99,99,79,99,97,48,1
0,86,97,87,6,99,97,82,99,88,20,1
0,89,98,87,64,99,99,79,99,97,42,1
0,85,95,87,90,99,99,82,99,93,26,1
0,87,97,64,57,99,82,81,99,96,96,1
