trackIsexplicit,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,songIsLiked
0,828,519,4000,-6855,126,607,568,105,496,166959,0
0,675,666,5000,-9612,29,54,0,122,832,108340,0
0,754,498,6000,-8741,87,510,32,102,544,96110,1
0,906,731,6000,-7021,97,426,0,85,794,106995,0
0,760,711,2000,-8797,40,106,0,163,962,132660,0
0,592,837,4000,-6987,37,450,22,145,670,167992,1
0,335,946,4000,-5012,52,0,133,262,582,76004,1
0,611,453,4000,-8366,29,533,0,115,400,130925,0
0,776,679,7000,-9131,64,194,466,328,431,92021,0
0,671,860,10000,-6887,38,116,1,150,790,97037,1
0,788,473,4000,-7122,89,164,0,151,687,125989,0
0,978,534,6000,-6237,42,172,369,65,833,111992,1
0,756,477,10000,-12308,39,762,62,177,566,118020,1
1,619,654,0,-8541,42,209,3,60,726,80000,1
1,739,522,7000,-12304,151,821,1,233,619,138263,1
0,766,592,5000,-9894,296,658,6,105,833,179985,1
0,798,508,7000,-7422,40,548,0,88,901,120030,1
1,872,383,2000,-7309,184,41,0,162,553,104001,1
0,708,554,10000,-6830,31,403,42,126,564,103999,1
0,460,115,1000,-20167,36,971,915,230,72,102907,1
0,463,76,0,-21855,38,960,856,105,178,116200,1
0,518,144,0,-14734,31,914,888,114,206,90651,1
0,478,79,0,-18825,31,769,154,109,132,104170,1
0,517,150,8000,-9638,39,981,541,104,143,79917,1
0,630,103,3000,-19981,40,975,870,95,95,55941,0
0,374,76,5000,-19560,34,989,954,165,110,105410,1
1,487,909,10000,-4091,99,302,0,78,293,187826,0
0,719,360,6000,-12034,398,748,0,81,409,80184,1
0,762,54,2000,-16735,50,947,0,124,339,96838,1
1,657,845,11000,-4570,300,154,0,294,706,89835,1
1,469,771,5000,-7071,338,518,0,78,298,88968,1
1,645,658,1000,-6625,53,623,0,107,190,77021,0
1,541,596,9000,-6487,390,568,0,172,600,80469,1
1,636,561,3000,-7727,423,136,0,111,520,102726,1
1,510,67,3000,-12163,68,744,0,166,197,106017,0
0,756,394,4000,-7321,95,945,37,120,197,70027,1
1,945,702,11000,-5016,120,591,0,78,678,119887,1
1,280,890,8000,-4704,58,16,0,408,520,93954,1
1,576,765,7000,-7442,196,2,0,695,798,140989,1
0,720,562,2000,-7642,36,35,0,126,393,98943,1
0,776,384,9000,-10976,43,776,0,112,387,110001,0
1,646,682,7000,-5847,75,683,0,107,421,131895,1
0,545,545,9000,-7362,107,667,0,417,549,159940,0
1,690,462,8000,-8054,130,343,2,113,325,157655,0
1,379,561,9000,-6451,60,481,11,110,148,189542,1
1,726,556,7000,-8481,206,75,0,392,664,89034,1
1,723,850,8000,-4401,59,239,0,119,901,148017,1
1,621,730,5000,-5414,107,96,0,673,464,139566,1
1,554,498,9000,-8866,68,230,0,795,413,79635,1
1,493,653,0,-5666,46,269,0,511,852,142347,1
1,216,497,10000,-8025,37,128,0,111,313,187308,1
1,596,575,11000,-8325,51,86,0,334,340,98265,0
1,468,652,0,-4912,72,333,0,550,390,140223,1
1,469,623,1000,-4432,30,345,0,588,198,134943,1
1,732,734,11000,-7968,97,136,0,165,488,145722,1
1,467,635,7000,-6115,154,314,0,844,510,127596,1
1,703,845,10000,-4851,337,169,0,122,745,97672,1
1,620,586,1000,-6612,212,155,0,535,487,137131,1
1,386,762,9000,-6341,564,122,0,527,433,170691,1
1,371,750,7000,-5382,402,601,0,482,729,173456,1
1,685,855,1000,-6724,438,329,0,301,460,157181,1
1,665,469,10000,-7778,130,565,0,219,142,115852,1
1,454,866,2000,-5348,391,121,6,167,518,92463,1
1,401,532,5000,-11554,508,103,0,478,413,84777,1
1,547,759,1000,-7039,413,354,0,676,575,91850,0
1,449,434,1000,-11777,243,306,0,633,371,78570,0
0,729,675,1000,-6008,187,37,847,89,654,162126,1
0,667,532,2000,-11288,180,456,12,120,882,86576,1
1,577,387,7000,-8607,274,964,705,208,459,146565,1
1,371,655,0,-9901,77,52,0,168,855,147794,1
1,631,402,0,-10054,124,519,0,68,534,91945,1
1,729,727,1000,-9917,160,926,11,129,713,95976,1
0,764,186,4000,-14824,79,816,22,113,626,143940,1
0,603,580,5000,-4779,149,668,0,89,754,144126,1
0,327,132,7000,-21502,41,965,890,110,66,85395,1
1,904,622,8000,-7959,415,177,0,448,826,99964,0
1,322,555,11000,-8726,129,208,4,325,397,96019,1
1,861,647,7000,-7425,67,594,661,114,670,158037,1
1,477,776,0,-6761,439,43,0,256,763,149952,1
0,272,238,2000,-12148,34,890,9,275,119,83507,1
1,759,492,1000,-10338,120,736,9,107,561,104974,1
